,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
8,1.0,China,327964,4278.0,5233.0,,283983.0,2877.0,38748.0,98.0,226.0,4.0,160000000.0,110461.0,1448471400.0,Asia,4417.0,276796.0,9.0,3.0,,27.0
9,2.0,USA,100787779,32724.0,1106607.0,149.0,98236954.0,45703.0,1444218.0,3495.0,301034.0,3305.0,1141488941.0,3409412.0,334805269.0,North America,3.0,303.0,0.0,98.0,0.4,4314.0
10,3.0,India,44674195,211.0,530627.0,3.0,44137942.0,325.0,5626.0,698.0,31760.0,377.0,906950463.0,644768.0,1406631776.0,Asia,31.0,2651.0,2.0,0.2,,4.0
11,4.0,France,37975060,59008.0,159093.0,67.0,36940992.0,5501.0,874975.0,869.0,579025.0,2426.0,271490188.0,4139547.0,65584518.0,Europe,2.0,412.0,0.0,900.0,1.0,13341.0
12,5.0,Germany,36557861,27841.0,158198.0,89.0,35853000.0,31100.0,546663.0,1406.0,435817.0,1886.0,122332384.0,1458359.0,83883596.0,Europe,2.0,530.0,1.0,332.0,1.0,6517.0
13,6.0,Brazil,35375733,39251.0,690129.0,131.0,34262104.0,4716.0,423500.0,8318.0,164268.0,3205.0,63776166.0,296146.0,215353593.0,South America,6.0,312.0,3.0,182.0,0.6,1967.0
14,7.0,S. Korea,27208800,52987.0,30621.0,53.0,26187426.0,23703.0,990753.0,460.0,530077.0,597.0,15804065.0,307892.0,51329899.0,Asia,2.0,1676.0,3.0,1032.0,1.0,19302.0
15,8.0,Japan,25021295,109928.0,50013.0,187.0,20725942.0,12079.0,4245340.0,349.0,199238.0,398.0,81441509.0,648498.0,125584838.0,Asia,5.0,2511.0,2.0,875.0,1.0,33805.0
16,9.0,Italy,24488080,,181733.0,,23799178.0,,507169.0,320.0,406355.0,3016.0,258382332.0,4287595.0,60262770.0,Europe,2.0,332.0,0.0,,,8416.0
17,10.0,UK,24024746,,197253.0,,23744855.0,3100.0,82638.0,146.0,350737.0,2880.0,522526476.0,7628357.0,68497907.0,Europe,3.0,347.0,0.0,,,1206.0
18,11.0,Russia,21604334,6721.0,392117.0,57.0,21009259.0,5684.0,202958.0,2300.0,148172.0,2689.0,273400000.0,1875095.0,145805947.0,Europe,7.0,372.0,1.0,46.0,0.4,1392.0
19,12.0,Turkey,17005537,,101400.0,,16904137.0,,0.0,,198751.0,1185.0,162743369.0,1902052.0,85561976.0,Asia,5.0,844.0,1.0,,,
20,13.0,Spain,13614807,2755.0,116108.0,27.0,13403322.0,2527.0,95377.0,339.0,291418.0,2485.0,471036328.0,10082298.0,46719142.0,Europe,3.0,402.0,0.0,59.0,0.6,2041.0
21,14.0,Vietnam,11517124,635.0,43176.0,,10608722.0,145.0,865226.0,80.0,116389.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2292.0,1.0,6.0,,8744.0
22,15.0,Australia,10743934,18695.0,16223.0,36.0,10546102.0,,181609.0,82.0,412138.0,622.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1607.0,0.0,717.0,1.0,6967.0
23,16.0,Argentina,9727247,,130025.0,,9590207.0,,7015.0,241.0,211415.0,2826.0,35716069.0,776264.0,46010234.0,South America,5.0,354.0,1.0,,,152.0
24,17.0,Netherlands,8544770,932.0,22920.0,4.0,8496213.0,3428.0,25637.0,34.0,496459.0,1332.0,25984435.0,1509718.0,17211447.0,Europe,2.0,751.0,1.0,54.0,0.2,1490.0
25,18.0,Taiwan,8343065,14065.0,14416.0,29.0,8001297.0,19157.0,327352.0,,349249.0,603.0,28580079.0,1196390.0,23888595.0,Asia,3.0,1657.0,1.0,589.0,1.0,13703.0
26,19.0,Iran,7559760,23.0,144634.0,,7335235.0,28.0,79891.0,79.0,87881.0,1681.0,54420785.0,632632.0,86022837.0,Asia,11.0,595.0,2.0,0.3,,929.0
27,20.0,Mexico,7132792,,330525.0,,6400759.0,,401508.0,4798.0,54216.0,2512.0,18757827.0,142577.0,131562772.0,North America,18.0,398.0,7.0,,,3052.0
28,21.0,Indonesia,6674000,4179.0,159921.0,37.0,6458238.0,6001.0,55841.0,2771.0,23910.0,573.0,112623786.0,403475.0,279134505.0,Asia,42.0,1745.0,2.0,15.0,0.1,200.0
29,22.0,Poland,6353850,542.0,118332.0,4.0,5335940.0,,899578.0,1530.0,168359.0,3135.0,37808951.0,1001833.0,37739785.0,Europe,6.0,319.0,1.0,14.0,0.1,23836.0
30,23.0,Colombia,6318021,,141911.0,,6142640.0,,33470.0,342.0,122650.0,2755.0,36907625.0,716475.0,51512762.0,South America,8.0,363.0,1.0,,,650.0
31,24.0,Austria,5572353,5258.0,21231.0,4.0,5502911.0,3188.0,48211.0,47.0,614595.0,2342.0,202723557.0,22359109.0,9066710.0,Europe,2.0,427.0,0.0,580.0,0.4,5317.0
32,25.0,Portugal,5546290,,25517.0,,5498961.0,926.0,21812.0,61.0,546941.0,2516.0,45641725.0,4500903.0,10140570.0,Europe,2.0,397.0,0.0,,,2151.0
33,26.0,Greece,5404690,,34309.0,,5318479.0,7587.0,51902.0,115.0,523881.0,3326.0,100284496.0,9720658.0,10316637.0,Europe,2.0,301.0,0.0,,,5031.0
34,27.0,Ukraine,5341284,,110586.0,,5214849.0,2090.0,15849.0,,123663.0,2560.0,32603805.0,754855.0,43192122.0,Europe,8.0,391.0,1.0,,,367.0
35,28.0,Malaysia,4996964,2421.0,36704.0,9.0,4936207.0,2826.0,24053.0,97.0,150597.0,1106.0,66497954.0,2004093.0,33181072.0,Asia,7.0,904.0,0.0,73.0,0.3,725.0
36,29.0,Chile,4929498,4447.0,62510.0,26.0,4854844.0,3193.0,12144.0,132.0,256075.0,3247.0,47118091.0,2447668.0,19250195.0,South America,4.0,308.0,0.0,231.0,1.0,631.0
37,30.0,DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,5.0,351225.0,,,,
38,31.0,Israel,4724509,902.0,11865.0,,4700423.0,1467.0,12221.0,22.0,506595.0,1272.0,41373364.0,4436346.0,9326000.0,Asia,2.0,786.0,0.0,97.0,,1310.0
39,32.0,Thailand,4707244,,33180.0,,4649509.0,,24555.0,1496.0,67171.0,473.0,17270775.0,246450.0,70078203.0,Asia,15.0,2112.0,4.0,,,350.0
40,33.0,Belgium,4639411,,33061.0,,4583532.0,1450.0,22818.0,37.0,397609.0,2833.0,36130437.0,3096467.0,11668278.0,Europe,3.0,353.0,0.0,,,1956.0
41,34.0,Czechia,4560112,897.0,41899.0,5.0,4509088.0,1467.0,9125.0,48.0,424719.0,3902.0,56621436.0,5273594.0,10736784.0,Europe,2.0,256.0,0.0,84.0,0.5,850.0
42,35.0,Canada,4408276,,47781.0,,4302825.0,2291.0,57670.0,99.0,114833.0,1245.0,66343123.0,1728207.0,38388419.0,North America,9.0,803.0,1.0,,,1502.0
43,36.0,Switzerland,4317035,,14318.0,,4222548.0,4873.0,80169.0,53.0,492046.0,1632.0,22932989.0,2613852.0,8773637.0,Europe,2.0,613.0,0.0,,,9137.0
44,37.0,Peru,4278997,12746.0,217441.0,13.0,3971278.0,4481.0,90278.0,94.0,127033.0,6455.0,36561147.0,1085409.0,33684208.0,South America,8.0,155.0,1.0,378.0,0.4,2680.0
45,38.0,South Africa,4042520,312.0,102464.0,,3912506.0,,27550.0,192.0,66537.0,1686.0,26473049.0,435726.0,60756135.0,Africa,15.0,593.0,2.0,5.0,,453.0
46,39.0,Philippines,4038744,1311.0,64682.0,24.0,3955135.0,658.0,18927.0,162.0,35897.0,575.0,33702191.0,299551.0,112508994.0,Asia,28.0,1739.0,3.0,12.0,0.2,168.0
47,40.0,Romania,3296834,,67276.0,,3225629.0,429.0,3929.0,94.0,173232.0,3535.0,25759760.0,1353545.0,19031335.0,Europe,6.0,283.0,1.0,,,206.0
48,41.0,Denmark,3148725,515.0,7541.0,4.0,3135724.0,285.0,5460.0,10.0,539632.0,1292.0,128828312.0,22078735.0,5834950.0,Europe,2.0,774.0,0.0,88.0,0.7,936.0
49,42.0,Sweden,2632091,,21095.0,,2593838.0,,17158.0,19.0,257569.0,2064.0,19155093.0,1874464.0,10218971.0,Europe,4.0,484.0,1.0,,,1679.0
50,43.0,Iraq,2463724,,25364.0,,2437149.0,,1211.0,21.0,58431.0,602.0,19448292.0,461243.0,42164965.0,Asia,17.0,1662.0,2.0,,,29.0
51,44.0,Serbia,2424595,547.0,17395.0,3.0,2396541.0,786.0,10659.0,17.0,280202.0,2010.0,11643780.0,1345633.0,8653016.0,Europe,4.0,497.0,1.0,63.0,0.3,1232.0
52,45.0,Singapore,2170498,1297.0,1705.0,2.0,2094882.0,1819.0,73911.0,8.0,365186.0,287.0,24622510.0,4142731.0,5943546.0,Asia,3.0,3486.0,0.0,218.0,0.3,12436.0
53,46.0,Hungary,2166352,,48287.0,,2104358.0,,13707.0,7.0,225515.0,5027.0,11394556.0,1186160.0,9606259.0,Europe,4.0,199.0,1.0,,,1427.0
54,47.0,Hong Kong,2138378,9996.0,10773.0,11.0,1886931.0,6047.0,240674.0,18.0,281206.0,1417.0,70602097.0,9284498.0,7604299.0,Asia,4.0,706.0,0.0,1315.0,1.0,31650.0
55,48.0,Bangladesh,2036612,15.0,29434.0,1.0,1985989.0,90.0,21189.0,1331.0,12131.0,175.0,15087849.0,89870.0,167885689.0,Asia,82.0,5704.0,11.0,0.09,0.01,126.0
56,49.0,New Zealand,1945117,,3297.0,,1915871.0,,25949.0,,397108.0,673.0,7544063.0,1540170.0,4898203.0,Australia/Oceania,3.0,1486.0,1.0,,,5298.0
57,50.0,Slovakia,1856208,125.0,20737.0,3.0,1834106.0,41.0,1365.0,23.0,339953.0,3798.0,7355949.0,1347196.0,5460193.0,Europe,3.0,263.0,1.0,23.0,0.5,250.0
58,51.0,Georgia,1805698,,16881.0,,1776548.0,,12269.0,,454980.0,4253.0,16920079.0,4263340.0,3968738.0,Asia,2.0,235.0,0.0,,,3091.0
59,52.0,Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,6.0,729.0,1.0,,,181.0
60,53.0,Ireland,1680548,,8159.0,,1666415.0,884.0,5974.0,14.0,334757.0,1625.0,12859011.0,2561454.0,5020199.0,Europe,3.0,615.0,0.0,,,1190.0
61,54.0,Pakistan,1575250,24.0,30632.0,,1538689.0,,5929.0,41.0,6864.0,133.0,30570862.0,133213.0,229488994.0,Asia,146.0,7492.0,8.0,0.1,,26.0
62,55.0,Norway,1469419,186.0,4325.0,,1462637.0,107.0,2457.0,20.0,266616.0,785.0,11002430.0,1996315.0,5511370.0,Europe,4.0,1274.0,1.0,34.0,,446.0
63,56.0,Finland,1405255,,7448.0,,1361449.0,,36358.0,21.0,252973.0,1341.0,11825322.0,2128786.0,5554960.0,Europe,4.0,746.0,0.0,,,6545.0
64,57.0,Kazakhstan,1397084,162.0,13693.0,,1382292.0,,1099.0,24.0,72746.0,713.0,11575012.0,602707.0,19205043.0,Asia,14.0,1403.0,2.0,8.0,,57.0
65,58.0,Bulgaria,1287594,185.0,38048.0,4.0,1245158.0,291.0,4388.0,40.0,188118.0,5559.0,10826890.0,1581816.0,6844597.0,Europe,5.0,180.0,1.0,27.0,0.6,641.0
66,59.0,Lithuania,1277069,443.0,9435.0,1.0,1262065.0,220.0,5569.0,6.0,479793.0,3545.0,10262488.0,3855602.0,2661708.0,Europe,2.0,282.0,0.0,166.0,0.4,2092.0
67,60.0,Morocco,1269151,149.0,16284.0,,1251541.0,113.0,1326.0,293.0,33600.0,431.0,12762616.0,337879.0,37772756.0,Africa,30.0,2320.0,3.0,4.0,,35.0
68,61.0,Slovenia,1261489,1418.0,6938.0,2.0,1239514.0,818.0,15037.0,19.0,607059.0,3339.0,2786595.0,1340977.0,2078034.0,Europe,2.0,300.0,1.0,682.0,1.0,7236.0
69,62.0,Croatia,1254355,272.0,17334.0,4.0,1234959.0,361.0,2062.0,11.0,309009.0,4270.0,5366737.0,1322089.0,4059286.0,Europe,3.0,234.0,1.0,67.0,1.0,508.0
70,63.0,Lebanon,1220661,59.0,10738.0,1.0,1087587.0,,122336.0,74.0,182601.0,1606.0,4795578.0,717380.0,6684849.0,Asia,5.0,623.0,1.0,9.0,0.1,18300.0
71,64.0,Guatemala,1158498,955.0,19953.0,1.0,1132704.0,278.0,5841.0,5.0,62338.0,1074.0,6335439.0,340908.0,18584039.0,North America,16.0,931.0,3.0,51.0,0.05,314.0
72,65.0,Costa Rica,1148914,2779.0,9046.0,8.0,860711.0,,279157.0,52.0,221697.0,1746.0,4659757.0,899158.0,5182354.0,North America,5.0,573.0,1.0,536.0,2.0,53867.0
73,66.0,Tunisia,1147072,,29268.0,,,,,44.0,95219.0,2430.0,4975826.0,413046.0,12046656.0,Africa,11.0,412.0,2.0,,,648.0
74,67.0,Bolivia,1111646,289.0,22248.0,,1078111.0,155.0,11287.0,220.0,92694.0,1855.0,2705422.0,225590.0,11992656.0,South America,11.0,539.0,4.0,24.0,,941.0
75,68.0,Cuba,1111412,14.0,8530.0,,1102784.0,1.0,98.0,,98306.0,754.0,14233813.0,1259000.0,11305652.0,North America,10.0,1325.0,1.0,1.0,,9.0
76,69.0,UAE,1044603,135.0,2348.0,,1024380.0,225.0,17875.0,,103613.0,233.0,197280975.0,19568060.0,10081785.0,Asia,10.0,4294.0,0.0,13.0,,1773.0
77,70.0,Ecuador,1011132,,35940.0,,973448.0,,1744.0,759.0,55822.0,1984.0,3082403.0,170173.0,18113361.0,South America,18.0,504.0,6.0,,,96.0
78,71.0,Panama,1002161,,8526.0,,985881.0,,7754.0,16.0,225358.0,1917.0,7256244.0,1631730.0,4446964.0,North America,4.0,522.0,1.0,,,1744.0
79,72.0,Nepal,1000900,6.0,12019.0,,988742.0,23.0,139.0,,33114.0,398.0,5978725.0,197803.0,30225582.0,Asia,30.0,2515.0,5.0,0.2,,5.0
80,73.0,Belarus,994037,,7118.0,,985592.0,,1327.0,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,9.0,1325.0,1.0,,,141.0
81,74.0,Uruguay,993875,,7537.0,,985312.0,,1026.0,18.0,284288.0,2156.0,6114822.0,1749083.0,3496016.0,South America,4.0,464.0,1.0,,,293.0
82,75.0,Mongolia,993372,335.0,2179.0,,987141.0,441.0,4052.0,192.0,294064.0,645.0,4030048.0,1193000.0,3378078.0,Asia,3.0,1550.0,1.0,99.0,,1199.0
83,76.0,Latvia,961627,,6086.0,,950319.0,,5222.0,3.0,520125.0,3292.0,7746372.0,4189862.0,1848837.0,Europe,2.0,304.0,0.0,,,2824.0
84,77.0,Saudi Arabia,825681,41.0,9468.0,3.0,813222.0,42.0,2991.0,45.0,23035.0,264.0,44821556.0,1250430.0,35844909.0,Asia,43.0,3786.0,1.0,1.0,0.08,83.0
85,78.0,Azerbaijan,824431,46.0,9983.0,2.0,814189.0,41.0,259.0,,80040.0,969.0,7378848.0,716379.0,10300205.0,Asia,12.0,1032.0,1.0,4.0,0.2,25.0
86,79.0,Paraguay,777525,621.0,19630.0,9.0,,,,7.0,106425.0,2687.0,2657506.0,363751.0,7305843.0,South America,9.0,372.0,3.0,85.0,1.0,8155.0
87,80.0,Bahrain,696524,73.0,1536.0,,694088.0,126.0,900.0,3.0,390432.0,861.0,10576312.0,5928483.0,1783983.0,Asia,3.0,1161.0,0.0,41.0,,504.0
88,81.0,Sri Lanka,671695,8.0,16805.0,,654880.0,77.0,10.0,,31132.0,779.0,6486117.0,300619.0,21575842.0,Asia,32.0,1284.0,3.0,0.4,,0.5
89,82.0,Kuwait,662672,,2570.0,,659992.0,,110.0,,151284.0,587.0,8441451.0,1927128.0,4380326.0,Asia,7.0,1704.0,1.0,,,25.0
90,83.0,Dominican Republic,650381,,4384.0,,644066.0,,1931.0,4.0,58824.0,397.0,3738144.0,338099.0,11056370.0,North America,17.0,2522.0,3.0,,,175.0
91,84.0,Myanmar,633281,20.0,19488.0,,607800.0,23.0,5993.0,,11467.0,353.0,9680188.0,175280.0,55227143.0,Asia,87.0,2834.0,6.0,0.4,,109.0
92,85.0,Palestine,620816,,5404.0,,614962.0,,450.0,17.0,116137.0,1011.0,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,,,84.0
93,86.0,Cyprus,618248,4011.0,1237.0,11.0,601436.0,,15575.0,60.0,505358.0,1011.0,9640118.0,7879860.0,1223387.0,Asia,2.0,989.0,0.0,3279.0,9.0,12731.0
94,87.0,Estonia,609233,,2790.0,,524990.0,,81453.0,3.0,460873.0,2111.0,3606878.0,2728535.0,1321910.0,Europe,2.0,474.0,0.0,,,61618.0
95,88.0,Moldova,595073,,11918.0,,504142.0,,79013.0,49.0,148280.0,2970.0,3216305.0,801437.0,4013171.0,Europe,7.0,337.0,1.0,,,19688.0
96,89.0,Venezuela,547697,66.0,5829.0,1.0,540781.0,39.0,1087.0,36.0,18714.0,199.0,3359014.0,114771.0,29266991.0,South America,53.0,5021.0,9.0,2.0,0.03,37.0
97,90.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4857.0,232.0,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,,,460.0
98,91.0,Libya,507084,,6437.0,,500604.0,,43.0,,72021.0,914.0,2483318.0,352707.0,7040745.0,Africa,14.0,1094.0,3.0,,,6.0
99,92.0,Ethiopia,494687,42.0,7572.0,,472467.0,15.0,14648.0,1.0,4095.0,63.0,5367154.0,44425.0,120812698.0,Africa,244.0,15955.0,23.0,0.3,,121.0
100,93.0,Qatar,479780,446.0,685.0,,476860.0,,2235.0,,161005.0,230.0,4065369.0,1364257.0,2979915.0,Asia,6.0,4350.0,1.0,150.0,,750.0
101,94.0,Réunion,477305,,903.0,,418572.0,,57830.0,10.0,525631.0,994.0,1603660.0,1766027.0,908061.0,Africa,2.0,1006.0,1.0,,,63685.0
102,95.0,Honduras,458921,352.0,11051.0,,,,,105.0,44899.0,1081.0,1568024.0,153408.0,10221247.0,North America,22.0,925.0,7.0,34.0,,30850.0
103,96.0,Armenia,445737,,8710.0,,434866.0,,2161.0,,149981.0,2931.0,3235175.0,1088564.0,2971966.0,Asia,7.0,341.0,1.0,,,727.0
104,97.0,Bosnia and Herzegovina,400572,8.0,16203.0,1.0,378424.0,22.0,5945.0,,123279.0,4987.0,1879615.0,578465.0,3249317.0,Europe,8.0,201.0,2.0,2.0,0.3,1830.0
105,98.0,Oman,399027,,4260.0,,384669.0,,10098.0,2.0,74949.0,800.0,25000000.0,4695724.0,5323993.0,Asia,13.0,1250.0,0.0,,,1897.0
106,99.0,North Macedonia,344710,,9568.0,,334335.0,,807.0,,165622.0,4597.0,2141032.0,1028697.0,2081304.0,Europe,6.0,218.0,1.0,,,388.0
107,100.0,Kenya,341804,108.0,5684.0,,335432.0,73.0,688.0,1.0,6080.0,101.0,3943929.0,70158.0,56215221.0,Africa,164.0,9890.0,14.0,2.0,,12.0
108,101.0,Zambia,333746,,4019.0,,329690.0,,37.0,,17141.0,206.0,3765147.0,193380.0,19470234.0,Africa,58.0,4845.0,5.0,,,2.0
109,102.0,Albania,333381,21.0,3593.0,,328219.0,8.0,1569.0,,116308.0,1254.0,1941032.0,677173.0,2866374.0,Europe,9.0,798.0,1.0,7.0,,547.0
110,103.0,Botswana,326633,,2790.0,,323747.0,,96.0,1.0,133802.0,1143.0,2026898.0,830300.0,2441162.0,Africa,7.0,875.0,1.0,,,39.0
111,104.0,Luxembourg,297757,,1133.0,,288991.0,,7633.0,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,2.0,567.0,0.0,,,11883.0
112,105.0,Montenegro,283771,21.0,2790.0,,280755.0,30.0,226.0,6.0,451901.0,4443.0,2665308.0,4244459.0,627950.0,Europe,2.0,225.0,0.0,33.0,,360.0
113,106.0,Algeria,271100,4.0,6881.0,,182570.0,3.0,81649.0,,5978.0,152.0,230861.0,5091.0,45350148.0,Africa,167.0,6591.0,196.0,0.09,,1800.0
114,107.0,Nigeria,266283,,3155.0,,259640.0,,3488.0,11.0,1229.0,15.0,5441162.0,25104.0,216746934.0,Africa,814.0,68700.0,40.0,,,16.0
115,108.0,Zimbabwe,257893,,5606.0,,251904.0,,383.0,12.0,16821.0,366.0,2525756.0,164744.0,15331428.0,Africa,59.0,2735.0,6.0,,,25.0
